1695648541.81334424	1	0
1695648541.82227039	1	1
1695648541.84712005	1	2
1695648541.87229204	1	3
1695648541.89713979	1	4
1695648541.92224574	1	5
1695648541.94708705	1	6
1695648541.97216392	1	7
1695648541.99716353	1	8
1695648542.02221680	1	9
1695648542.04709983	1	10
1695648542.07217407	1	11
1695648542.09722519	1	12
1695648542.12224507	1	13
1695648542.14710641	1	14
1695648542.17213702	1	15
1695648542.19719028	1	16
1695648542.22221136	1	17
1695648542.24719191	1	18
1695648542.27213955	1	19
1695648542.29722118	1	20
1695648542.32223177	1	21
1695648542.34718037	1	22
1695648542.37212968	1	23
1695648542.39715886	1	24
1695648542.42220187	1	25
1695648542.44709444	1	26
1695648542.47210145	1	27
1695648542.49717164	1	28
1695648542.52235484	1	29
1695648542.54710102	1	30
1695648542.57214975	1	31
1695648542.59718251	1	32
1695648542.62222385	1	33
1695648542.64707279	1	34
1695648542.67223477	1	35
1695648542.69714689	1	36
1695648542.72218442	1	37
1695648542.74713707	1	38
1695648542.77211308	1	39
1695648542.79724646	1	40
1695648542.82218957	1	41
1695648542.84710288	1	42
1695648542.87215018	1	43
1695648542.89714289	1	44
1695648542.92226267	1	45
1695648542.94712019	1	46
1695648542.97214484	1	47
1695648542.99717975	1	48
1695648543.02220345	1	49
1695648543.04714656	1	50
1695648543.07213569	1	51
1695648543.09714341	1	52
1695648543.12218809	1	53
1695648543.14702296	1	54
1695648543.17219377	1	55
1695648543.19713187	1	56
1695648543.22219753	1	57
1695648543.24717450	1	58
1695648543.27218151	1	59
1695648543.29723692	1	60
1695648543.32222128	1	61
1695648543.34723902	1	62
1695648543.37217283	1	63
1695648543.39717150	1	64
1695648543.42226553	1	65
1695648543.44717932	1	66
1695648543.47219348	1	67
1695648543.49720263	1	68
1695648543.52227354	1	69
1695648543.54683733	1	70
1695648543.57221627	1	71
1695648543.59707475	1	72
1695648543.62225246	1	73
1695648543.64716339	1	74
1695648543.67216945	1	75
1695648543.69714117	1	76
1695648543.72206020	1	77
1695648543.74691558	1	78
1695648543.77272201	1	79
1695648543.79684114	1	80
1695648543.82226348	1	81
1695648543.84687471	1	82
1695648543.87182355	1	83
1695648543.89713454	1	84
1695648543.92271972	1	85
1695648543.94713092	1	86
1695648543.97215652	1	87
1695648543.99713802	1	88
1695648544.02220917	1	89
1695648544.04711413	1	90
1695648544.07220840	1	91
1695648544.09713721	1	92
1695648544.12219024	1	93
1695648544.14714956	1	94
1695648544.17220092	1	95
1695648544.19710040	1	96
1695648544.22223592	1	97
1695648544.24714756	1	98
1695648544.27217031	1	99
1695648544.29714274	1	100
1695648544.32225823	1	101
1695648544.34717083	1	102
1695648544.37215161	1	103
1695648544.39710736	1	104
1695648544.42232943	1	105
1695648544.44719195	1	106
1695648544.47215724	1	107
1695648544.49718308	1	108
1695648544.52225065	1	109
1695648544.54711151	1	110
1695648544.57222033	1	111
1695648544.59721780	1	112
1695648544.62194610	1	113
1695648544.64696479	1	114
1695648544.67194319	1	115
1695648544.69696593	1	116
1695648544.72194338	1	117
1695648544.74697232	1	118
1695648544.77190661	1	119
1695648544.79683733	1	120
1695648544.82194734	1	121
1695648544.84762335	1	122
1695648544.87191916	1	123
1695648544.89697957	1	124
1695648544.92188597	1	125
1695648544.94711208	1	126
1695648544.97217679	1	127
1695648544.99714637	1	128
1695648545.02222395	1	129
1695648545.04721379	1	130
1695648545.07221818	1	131
1695648545.09713411	1	132
1695648545.12224507	1	133
1695648545.14709234	1	134
1695648545.17214775	1	135
1695648545.19722819	1	136
1695648545.22222257	1	137
1695648545.24715495	1	138
1695648545.27237558	1	139
1695648545.29716301	1	140
1695648545.32224512	1	141
1695648545.34719825	1	142
1695648545.37218428	1	143
1695648545.39726782	1	144
1695648545.42221236	1	145
1695648545.44726562	1	146
1695648545.47219849	1	147
1695648545.49719882	1	148
1695648545.52224946	1	149
1695648545.54713559	1	150
1695648545.57220078	1	151
1695648545.59714770	1	152
1695648545.62222910	1	153
1695648545.64692760	1	154
1695648545.67186594	1	155
1695648545.69689345	1	156
1695648545.72194099	1	157
1695648545.74693346	1	158
1695648545.77192903	1	159
1695648545.79696870	1	160
1695648545.82193184	1	161
1695648545.84694624	1	162
1695648545.87187409	1	163
1695648545.89697504	1	164
1695648545.92190671	1	165
1695648545.94693351	1	166
1695648545.97208595	1	167
1695648545.99691415	1	168
1695648546.02197266	1	169
1695648546.04692101	1	170
1695648546.07186627	1	171
1695648546.09689498	1	172
1695648546.12222791	1	173
1695648546.14692521	1	174
1695648546.17195749	1	175
1695648546.19691348	1	176
1695648546.22197223	1	177
1695648546.24697113	1	178
1695648546.27185512	1	179
1695648546.29692125	1	180
1695648546.32193351	1	181
