vx,vy,r
5.61809,-0.0648042,0.175108
5.604,-0.0186548,0.0911366
5.63852,-0.0403753,0.0323798
5.63516,-0.0311617,0.0499364
5.61611,-0.0638957,0.0825716
5.6429,-0.0620226,0.114966
5.6612,-0.0074376,0.0373977
5.67929,-0.0330003,0.0490881
5.66337,-0.0175018,0.0498134
5.65726,-0.0209313,0.0348923
5.65962,-0.0147306,0.0428943
5.66551,-0.0214419,0.0424876
5.66996,-0.00999614,0.0525724
5.6744,0.00649169,0.0695348
5.68184,0.0162409,0.120332
5.67838,0.0191641,0.0736859
5.64121,0.0374029,0.0671657
5.59228,0.0394452,0.102992
5.51907,0.05229,0.0458063
5.48299,0.0587687,0.0856147
5.46351,0.0474646,0.0601426
5.44581,0.0667324,0.106417
5.44225,0.0661201,0.0517289
5.41952,0.0692002,0.0580881
5.42002,0.0634686,0.106666
5.417,0.066485,0.059605
5.44663,0.078211,0.158488
5.45893,0.0837195,0.00899957
5.44973,0.0881046,0.048695
5.46301,0.0698981,0.0905816
5.48258,0.0886611,0.0410308
5.48997,0.0881396,0.0148376
5.50117,0.0704358,0.0597526
5.53812,0.0679747,0.0963208
5.54842,0.0443602,0.0640638
5.58924,0.0282349,0.0763868
5.60791,0.0331533,0.0647387
5.63409,0.027978,0.106066
5.6556,0.00138089,0.157068
5.66327,0.0117702,0.0819229
5.65979,0.0196658,0.0895931
5.67914,0.0168977,0.128632
5.68753,0.0035752,0.066593
5.68986,-0.00370305,0.190173
5.73293,0.00568536,0.135081
5.72679,-0.0211043,0.0294225
5.72704,0.0023824,0.0433088
5.70367,-0.0123904,0.0175983
5.6864,-0.0351848,0.0448893
5.66118,-0.0280076,0.116974
5.64494,-0.0364022,0.0787455
5.64317,-0.0164534,0.0952261
5.655,-0.0155212,0.0303081
5.65879,-0.0353942,0.0613422
5.63972,-0.0437223,0.0878887
5.64947,-0.0310247,0.142553
5.65034,-0.026464,0.0391795
5.64218,-0.0164137,0.0065749
5.65084,-0.0206062,0.0966876
5.62857,-0.0308889,0.134233
5.61238,-0.0364534,0.0430129
5.63039,-0.0351576,0.0196771
5.6095,-0.0487578,0.0936825
5.63062,-0.0280667,0.0904601
5.6413,-0.0313399,0.0482923
5.66367,-0.023911,0.0485381
5.68144,-0.0300854,0.0258491
5.66957,-0.0228426,0.0548996
5.69725,-0.0140027,0.041114
5.71702,-0.0267104,0.0622821
5.67022,-0.0147903,0.0853747
5.69586,-0.000943805,0.070065
5.69951,-0.00499948,0.0358948
5.72224,-0.00663281,0.0425393
5.71902,0.00239137,0.0140976
5.70564,-0.00411676,0.0543211
5.7141,-0.0107541,0.0926448
5.7046,-0.00355722,0.0974795
5.67297,0.00825309,0.122594
5.68197,-0.0235855,0.0846419
5.65667,-0.00142722,0.0644749
5.65567,0.00397872,0.0973697
5.65895,0.0133838,0.121745
5.6531,-0.0157247,0.0650782
5.67001,-0.00933456,0.111031
5.67777,6.29722e-05,0.0573259
5.66816,0.0171346,0.103618
5.67386,-0.00344719,0.0728871
5.6641,0.0164733,0.0830464
5.66163,0.0178737,0.107768
5.64225,0.0251574,0.119146
5.64428,0.00952049,0.0722964
5.67189,0.00635572,0.0560192
5.67311,-0.000184213,0.0978401
5.69592,-0.0262235,0.0692293
5.70251,-0.00602393,0.0517818
5.70689,0.00417587,0.0674034
5.70386,-0.0107824,0.0831088
5.72241,0.00254207,0.0495338
5.74685,-0.015882,0.0460092
5.73808,-0.00535002,0.0682142
5.72447,0.00106927,0.0900563
5.74153,-0.0276014,0.144405
5.73065,-0.0543206,0.052625
5.7355,-0.0533262,0.043057
5.74236,-0.0394553,0.0189785
5.74429,-0.0185407,0.0155851
5.74772,-0.0547635,0.0399547
5.74253,-0.0290717,0.0666801
5.73283,-0.0416561,0.0779392
5.71283,-0.0433836,0.0511442
5.76598,-0.0601671,0.0526465
5.75251,-0.0529121,0.133623
5.74938,-0.0488948,0.0600714
5.77226,-0.0522212,0.0199183
5.77791,-0.0538737,0.0532938
5.79355,-0.0272027,0.105003
5.78053,-0.0396705,0.0979241
5.75454,-0.049676,0.058321
5.74752,-0.0336987,0.155037
5.72187,-0.0500085,0.087904
5.71515,-0.061797,0.0871312
5.71806,-0.0686103,0.0747809
5.69993,-0.0552792,0.0955683
5.67696,-0.0509502,0.109894
5.67456,-0.0331002,0.0580313
5.64481,-0.0386723,0.0200309
5.58969,-0.0421752,0.12906
5.54455,-0.0242136,0.0653775
5.52145,-0.0142591,0.122161
5.50115,-0.0191388,0.0547341
5.49355,-0.0286442,0.0814596
5.49398,-0.00518884,0.1211
5.4812,-0.00340356,0.0657582
5.48724,-0.0137198,0.0397878
5.49456,0.0031386,0.0273492
5.51378,-0.00134972,0.150908
5.50354,-0.00871214,0.0691293
5.49271,-0.00395978,0.0600166
5.49572,0.00873532,0.116802
5.47777,0.00915258,0.0467972
5.49353,0.0132483,0.0824781
5.47885,0.0111777,0.0615093
5.50834,0.0368727,0.0838739
5.50881,0.0379031,0.0857358
5.50192,0.0130674,0.0590781
5.55407,0.033488,0.0851225
5.54539,0.033205,0.0419526
5.56358,0.0372823,0.0482606
5.54494,0.0513341,0.0485088
5.55449,0.0238713,0.0194617
5.56932,0.0086426,0.0664178
5.57214,0.0435524,0.0497835
5.5943,0.0191858,0.0787525
5.61217,0.0169351,0.0980145
5.61672,0.0176663,0.0817
5.6227,0.0161764,0.0743464
5.65731,0.0239654,0.0535202
5.68093,0.0252661,0.0361676
5.69371,0.00553254,0.0538914
5.71171,0.0259339,0.101214
5.7196,0.0132715,0.0962192
5.72757,0.00937726,0.0743209
5.75044,-0.00387234,0.0368611
5.7412,-0.000296457,0.0157657
5.75702,-0.0150347,0.0380652
5.73973,-0.0116723,0.00864672
5.71264,-0.0202014,0.01493
5.73553,-0.0349724,0.0803344
5.73674,-0.0116518,0.100153
5.70115,-0.0259278,0.0651779
5.6838,-0.0308424,0.0200219
5.67652,-0.0265926,0.0184235
5.69595,-0.00185815,0.0716908
5.68483,0.00866682,0.0884398
5.68207,-0.0113165,0.0726888
5.67412,-0.0213603,0.0575523
5.64705,-0.013478,0.0434016
5.60209,-0.0112822,0.0641424
5.60507,-0.00910296,0.104747
5.58701,-0.0116893,0.158324
5.55827,-0.0254504,0.0164314
5.55701,-0.00106429,0.116475
5.55659,-0.0177368,0.100527
5.5713,-0.0250098,0.0551108
5.56047,-0.0136768,0.0405723
