7,0.00,0.000,0,129.63,0.00,835740,0.000,0.000,0.000,
18,0.00,0.000,0,129.63,0.00,835740,0.000,0.000,0.000,
19,0.00,0.000,0,129.63,0.00,835740,0.000,0.000,0.000,
7,0.00,0.000,0,129.63,0.00,835740,0.000,0.000,0.000,
18,0.00,0.000,0,129.63,0.00,835740,0.000,0.000,0.000,
19,0.00,0.000,0,129.63,0.00,835740,0.000,0.000,0.000,
32,150.32,2.936,8,150.52,-16.00,841541,1.398,-2.452,-0.809,
32,150.32,2.936,8,150.52,-16.00,841541,1.398,-2.452,-0.809,
32,150.50,2.940,8,150.70,-16.00,841741,1.392,-2.459,-0.811,
32,150.50,2.940,8,150.70,-16.00,841741,1.392,-2.459,-0.811,
32,150.68,2.948,7,150.88,-16.00,841741,1.388,-2.470,-0.813,
32,150.68,2.948,7,150.88,-16.00,841741,1.388,-2.470,-0.813,
5,0.00,0.000,0,151.06,0.00,841741,0.000,0.000,0.000,
32,150.86,2.932,7,151.06,-16.00,841741,1.373,-2.461,-0.808,
5,0.00,0.000,0,151.06,0.00,841741,0.000,0.000,0.000,
32,150.86,2.932,7,151.06,-16.00,841741,1.373,-2.461,-0.808,
32,151.04,2.944,7,151.24,-16.00,841741,1.371,-2.476,-0.812,
32,151.04,2.944,7,151.24,-16.00,841741,1.371,-2.476,-0.812,
31,151.23,3.140,7,151.42,-14.98,841941,1.460,-2.659,-0.812,
32,151.22,2.940,8,151.42,-16.00,841941,1.361,-2.477,-0.811,
31,151.23,3.140,7,151.42,-14.98,841941,1.460,-2.659,-0.812,
32,151.22,2.940,8,151.42,-16.00,841941,1.361,-2.477,-0.811,
3,0.00,0.000,0,151.60,0.00,841941,0.000,0.000,0.000,
31,151.41,3.136,7,151.60,-14.98,841941,1.450,-2.660,-0.811,
32,151.40,2.948,8,151.60,-16.00,841941,1.357,-2.488,-0.813,
3,0.00,0.000,0,151.60,0.00,841941,0.000,0.000,0.000,
31,151.41,3.136,7,151.60,-14.98,841941,1.450,-2.660,-0.811,
32,151.40,2.948,8,151.60,-16.00,841941,1.357,-2.488,-0.813,
31,151.59,3.148,7,151.78,-14.98,841941,1.447,-2.674,-0.814,
32,151.58,2.944,8,151.78,-16.00,841941,1.347,-2.489,-0.812,
31,151.59,3.148,7,151.78,-14.98,841941,1.447,-2.674,-0.814,
32,151.58,2.944,8,151.78,-16.00,841941,1.347,-2.489,-0.812,
31,151.77,3.140,7,151.96,-14.98,841941,1.435,-2.672,-0.812,
32,151.76,2.940,8,151.96,-16.00,841941,1.338,-2.489,-0.811,
31,151.77,3.140,7,151.96,-14.98,841941,1.435,-2.672,-0.812,
32,151.76,2.940,8,151.96,-16.00,841941,1.338,-2.489,-0.811,
31,151.95,3.132,6,152.14,-14.98,842141,1.423,-2.670,-0.810,
32,151.94,2.944,8,152.14,-16.00,842141,1.332,-2.497,-0.812,
31,151.95,3.132,6,152.14,-14.98,842141,1.423,-2.670,-0.810,
32,151.94,2.944,8,152.14,-16.00,842141,1.332,-2.497,-0.812,
31,152.13,3.144,6,152.32,-14.98,842141,1.420,-2.685,-0.813,
32,152.12,2.952,8,152.32,-16.00,842141,1.327,-2.508,-0.814,
31,152.13,3.144,6,152.32,-14.98,842141,1.420,-2.685,-0.813,
32,152.12,2.952,8,152.32,-16.00,842141,1.327,-2.508,-0.814,
30,152.32,3.356,6,152.50,-13.97,842141,1.513,-2.884,-0.810,
31,152.31,3.144,7,152.50,-14.98,842141,1.412,-2.689,-0.813,
32,152.30,2.948,8,152.50,-16.00,842141,1.318,-2.509,-0.813,
30,152.32,3.356,6,152.50,-13.97,842141,1.513,-2.884,-0.810,
31,152.31,3.144,7,152.50,-14.98,842141,1.412,-2.689,-0.813,
32,152.30,2.948,8,152.50,-16.00,842141,1.318,-2.509,-0.813,
30,152.50,3.360,6,152.68,-13.97,842141,1.506,-2.892,-0.811,
31,152.49,3.148,7,152.68,-14.98,842141,1.405,-2.697,-0.814,
32,152.48,2.944,8,152.68,-16.00,842141,1.308,-2.509,-0.812,
30,152.50,3.360,6,152.68,-13.97,842141,1.506,-2.892,-0.811,
31,152.49,3.148,7,152.68,-14.98,842141,1.405,-2.697,-0.814,
32,152.48,2.944,8,152.68,-16.00,842141,1.308,-2.509,-0.812,
30,152.68,3.356,7,152.86,-13.97,842341,1.495,-2.893,-0.810,
31,152.67,3.148,7,152.86,-14.98,842341,1.397,-2.701,-0.814,
32,152.66,2.944,8,152.86,-16.00,842341,1.300,-2.514,-0.812,
30,152.68,3.356,7,152.86,-13.97,842341,1.495,-2.893,-0.810,
31,152.67,3.148,7,152.86,-14.98,842341,1.397,-2.701,-0.814,
32,152.66,2.944,8,152.86,-16.00,842341,1.300,-2.514,-0.812,
30,152.86,3.360,8,153.04,-13.97,842341,1.487,-2.902,-0.811,
31,152.85,3.156,8,153.04,-14.98,842341,1.392,-2.713,-0.816,
32,152.84,2.948,9,153.04,-16.00,842341,1.294,-2.521,-0.813,
30,152.86,3.360,8,153.04,-13.97,842341,1.487,-2.902,-0.811,
31,152.85,3.156,8,153.04,-14.98,842341,1.392,-2.713,-0.816,
32,152.84,2.948,9,153.04,-16.00,842341,1.294,-2.521,-0.813,
30,153.04,3.372,7,153.22,-13.97,842341,1.484,-2.917,-0.814,
31,153.03,3.152,7,153.22,-14.98,842341,1.381,-2.713,-0.815,
32,153.02,2.956,8,153.22,-16.00,842341,1.290,-2.532,-0.815,
30,153.04,3.372,7,153.22,-13.97,842341,1.484,-2.917,-0.814,
