X,Y,Z,r3d,r2d,theta
--,cluster1,--
4.1075,-11.2141,-0.802643,11.9696,11.9427,-0.351105
--,cluster2,--
3.39888,-11.2661,-0.808235,11.7953,11.7676,-0.293009
--,cluster3,--
2.69323,-11.2858,-0.762077,11.6277,11.6027,-0.234258
--,cluster4,--
1.92725,-11.383,-0.79225,11.5721,11.545,-0.167719
--,cluster6,--
1.25171,-11.4164,-0.771857,11.5108,11.4848,-0.109205
--,cluster7,--
0.315143,-11.4505,-0.769929,11.4807,11.4548,-0.0275152
