X,Y,Z,r3d,r2d,theta
--,cluster1,--
2.50252,-7.81068,-0.125,8.20274,8.20178,-0.310063
--,cluster2,--
1.32403,-7.83097,-0.1435,7.94341,7.94211,-0.167493
--,cluster3,--
0.31456,-7.84416,-0.14824,7.85186,7.85046,-0.0400797
--,cluster4,--
-1.19974,-7.9463,-0.152652,8.03781,8.03636,0.149849
--,cluster5,--
-2.30829,-7.95321,-0.144625,8.28267,8.28141,0.282473
--,cluster6,--
-3.20382,-7.94368,-0.136045,8.56651,8.56543,0.383362
