X,Y,Z,r3d,r2d,theta
--,cluster1,--
3.00371,-8.38657,0.0431429,8.90835,8.90825,-0.343924
--,cluster2,--
1.74271,-8.40443,-0.129214,8.58418,8.58321,-0.204459
--,cluster3,--
0.61036,-8.44084,-0.14212,8.46407,8.46288,-0.0721847
--,cluster4,--
-0.55975,-8.573,-0.175083,8.59304,8.59126,0.0651997
--,cluster5,--
-1.52138,-8.73714,-0.177143,8.87038,8.86861,0.172399
--,cluster6,--
-3.05077,-8.83277,-0.134588,9.34575,9.34478,0.332564
