X,Y,Z,r3d,r2d,theta
--,cluster1,--
1.92135,-4.37408,-0.0976774,4.77847,4.77747,-0.413886
--,cluster2,--
1.09143,-4.46332,-0.0949384,4.59581,4.59483,-0.239827
--,cluster3,--
0.269855,-4.55394,-0.0962419,4.56294,4.56192,-0.0591883
--,cluster4,--
-0.479542,-4.64498,-0.0995254,4.67073,4.66967,0.102874
--,cluster5,--
-1.22113,-4.67715,-0.126815,4.83559,4.83393,0.255383
--,cluster6,--
-1.97644,-4.69957,-0.158721,5.10074,5.09827,0.398102
