X,Y,Z,r3d,r2d,theta
--,cluster1,--
2.57832,-7.24132,-0.137974,7.68787,7.68664,-0.34206
--,cluster2,--
1.2585,-7.29828,-0.147333,7.40745,7.40599,-0.170759
--,cluster3,--
0.121939,-7.39433,-0.160636,7.39708,7.39534,-0.0164894
--,cluster4,--
-1.00897,-7.43945,-0.163944,7.50934,7.50755,0.134802
--,cluster5,--
-2.02283,-7.48535,-0.172793,7.75578,7.75385,0.263934
--,cluster6,--
-2.92504,-7.48824,-0.15732,8.04079,8.03925,0.372392
